players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
Cxzi,2 : 6,2 : 5,4,59.4%,54.8%,0,16(9),16(9),8(0),28(5),27(5),78.0,82.0,59.4%,54.8%,-3.43%,0.77,Party Astronauts
viz,2 : 4,2 : 4,2,62.5%,67.1%,0,13(9),13(9),6(2),27(7),26(8),56.8,57.5,62.5%,67.1%,-1.80%,0.77,Party Astronauts
ben1337,3 : 3,3 : 3,3,62.5%,64.9%,0,19(13),21(13),3(0),27(2),26(2),61.7,66.2,62.5%,64.9%,-5.77%,0.73,Party Astronauts
chop,1 : 5,1 : 5,1,40.6%,45.3%,0,10(6),11(6),2(1),28(4),26(4),41.1,46.4,40.6%,45.3%,-7.45%,0.46,Party Astronauts
WolfY,4 : 2,4 : 2,0,50.0%,57.3%,0,11(6),11(6),3(1),29(3),28(3),37.3,37.8,50.0%,57.3%,-7.71%,0.40,Party Astronauts
EliGE,8 : 1,7 : 1,10,90.6%,78.3%,0,34(19),32(19),14(1),12(2),13(2),109.2,101.1,90.6%,78.3%,+8.78%,1.81,Complexity
Grim,2 : 2,2 : 2,8,81.2%,68.3%,0,30(14),29(14),12(1),19(3),20(3),98.4,95.8,81.2%,68.3%,+5.41%,1.48,Complexity
hallzerk,2 : 3,2 : 3,9,78.1%,67.9%,0,29(13),26(13),10(4),13(3),14(3),74.6,66.2,78.1%,67.9%,+6.51%,1.44,Complexity
JT,3 : 4,3 : 5,6,87.5%,73.2%,1,22(11),22(11),15(3),15(4),16(4),82.7,81.8,87.5%,73.2%,+1.76%,1.26,Complexity
floppy,5 : 2,5 : 2,4,87.5%,69.9%,0,21(11),21(11),11(4),11(3),11(3),69.9,67.7,87.5%,69.9%,+2.68%,1.23,Complexity
