players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
k0nfig,10 : 11,10 : 10,11,61.4%,60.5%,1,47(35),49(35),7(1),44(3),44(3),93.1,96.2,61.4%,60.5%,+1.24%,1.17,Ninjas in Pyjamas
headtr1ck,9 : 5,8 : 5,7,77.2%,77.2%,2,35(6),33(6),9(1),37(9),37(10),62.3,55.7,77.2%,77.2%,+0.94%,1.03,Ninjas in Pyjamas
REZ,2 : 5,2 : 5,9,73.7%,69.6%,1,35(19),35(19),12(2),47(11),45(11),69.9,72.4,73.7%,69.6%,-0.91%,0.95,Ninjas in Pyjamas
alex,2 : 5,2 : 4,7,68.4%,71.0%,0,32(14),33(14),9(3),42(8),40(8),50.3,52.2,68.4%,71.0%,-2.62%,0.82,Ninjas in Pyjamas
es3tag,4 : 4,4 : 3,4,70.2%,70.4%,0,25(13),24(13),16(2),40(8),39(8),64.4,65.4,70.2%,70.4%,-2.58%,0.81,Ninjas in Pyjamas
Staehr,3 : 1,3 : 1,9,84.2%,79.2%,1,47(27),48(27),16(2),33(11),32(10),78.5,79.2,84.2%,79.2%,+4.67%,1.50,Astralis
stavn,5 : 4,6 : 4,10,77.2%,71.0%,0,46(25),47(25),17(2),36(7),36(7),82.9,84.1,77.2%,71.0%,+1.75%,1.23,Astralis
device,10 : 6,9 : 6,15,75.4%,64.3%,1,50(16),47(16),14(7),32(4),35(5),83.2,77.1,75.4%,64.3%,+0.95%,1.14,Astralis
blameF,10 : 5,8 : 4,7,77.2%,70.7%,0,35(18),32(18),19(1),34(7),36(7),74.4,67.3,77.2%,70.7%,-1.54%,0.94,Astralis
jabbi,2 : 11,2 : 11,6,64.9%,58.4%,1,32(22),33(22),13(4),40(11),38(11),62.2,63.9,64.9%,58.4%,-2.20%,0.94,Astralis
